,chunk_size,chunk_overlap,num_retrievals,precision,recall
0,200,0,2,0.0741,0.7127
1,200,0,5,0.0359,0.8567
2,200,0,10,0.0196,0.9509
3,200,50,2,0.0702,0.6435
4,200,50,5,0.0386,0.8536
5,200,50,10,0.0213,0.9349
6,200,100,2,0.0800,0.7016
7,200,100,5,0.0489,0.9033
8,200,100,10,0.0263,0.9536
9,400,0,2,0.0386,0.7074
10,400,0,5,0.0187,0.8969
11,400,0,10,0.0100,0.9711
12,400,50,2,0.0377,0.6651
13,400,50,5,0.0194,0.8767
14,400,50,10,0.0104,0.9399
15,400,100,2,0.0347,0.6185
16,400,100,5,0.0198,0.8664
17,400,100,10,0.0113,0.9723
18,600,0,2,0.0242,0.7178
19,600,0,5,0.0120,0.8782
20,600,0,10,0.0069,0.9798
21,600,50,2,0.0265,0.6972
22,600,50,5,0.0125,0.8325
23,600,50,10,0.0071,0.9868
24,600,100,2,0.0278,0.7138
25,600,100,5,0.0128,0.8235
26,600,100,10,0.0073,0.9605
